,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION,DAILY_YIELD,SOURCE_KEY
0,30.56599240392218,35.559493133825676,0.3006216333730599,4201.0,3
1,29.478612107614943,35.143313971575665,0.246630967191566,5677.0,3
2,29.780109462638357,34.62673104823728,0.22118328183149752,6342.0,3
3,27.336693981812743,31.618089005459773,0.22391437826798571,7641.0,3
4,28.233015966012122,33.349862726297104,0.2790299026568414,9423.0,3
5,29.055460564499523,34.782797434877885,0.28324150912007656,9151.0,3
6,29.64856575269397,36.748053997078536,0.2972483651646051,9863.0,3
7,30.649598971599623,36.90995010181991,0.2933331309188784,9688.0,3
8,30.805943188976684,37.116551340291096,0.28568796141160485,4635.0,3
9,30.818428757315623,36.567040989343866,0.2766346367565042,9224.0,3
10,30.02799321070401,35.7789177337524,0.28369452009739304,9501.0,3
11,30.400937587775363,37.034485254681506,0.28574936066509554,9501.0,3
12,30.130057124837414,36.03372072519853,0.2930940293775885,3729.0,3
13,30.047376036617717,34.883857072707485,0.2446021985275745,8126.0,3
14,29.54867031754157,33.620538683754965,0.2481978900580524,8185.0,3
15,28.451276544815602,33.0978153065613,0.20004125094792027,6692.0,3
16,25.50704480733165,28.49376125274117,0.1413711992865422,4338.0,3
17,27.10240531618773,32.88319149076866,0.24738144145099586,7404.0,3
18,26.13420570593064,29.572434186825966,0.17489092600902334,6113.0,3
19,26.30493927300477,30.830730545605828,0.2102372842208975,6990.0,3
20,27.082355021791173,32.30056184117577,0.2329854408474657,7756.0,3
21,27.80129808214799,32.85081808159722,0.27045563257029553,8376.0,3
22,27.855763719492344,33.59463790079023,0.26078067504817243,7826.0,3
23,28.493347079215752,34.31220355739046,0.2816504580599019,9210.0,3
24,28.126931569636024,32.960383361302675,0.24831275735101244,8098.0,3
25,27.334611434404387,30.82651117513869,0.1935033620292932,5588.0,3
26,25.52091109061389,27.24831905874813,0.11747877188181832,3930.0,3
27,24.683421539523483,27.116899781609217,0.13648922657979662,4548.0,3
28,26.11693704403736,30.39487110832136,0.21552264113815808,6289.0,3
29,27.01979004464797,31.58983411596025,0.2295169814691817,1868.0,3
